['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],7974,40000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],7728,39000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],1384,38000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],8195,37000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],6979,36000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],5400,35000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],1186,34000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],2226,33000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],3473,32000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],4197,31000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],2428,30000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],5888,29000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],9286,28000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],515,27000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],7969,26000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],5546,25000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],1786,24000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],2127,23000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],5263,22000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],7948,21000,103700
['../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.0', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.1', '../../data/data_and_custom_no_rem_tendency/data_and_custom_tendency.csv.clean.fold.2'],1850,20000,103700
